country,Code,year,Mortality_rate,GDP,Adolescent_fertility_rate,happiness_level
Bahamas,BHS,2000,1.629999924,10664886272,47.804,Level：3
Bahrain,BHR,2000,1.25,15447922688,13.276,Level：3
Bangladesh,BGD,2000,8.6,83463815168,147.994,Level：5
Barbados,BRB,2000,1.510000038,4411344896,53.139,Level：3
Belarus,BLR,2000,1.269999981,26115770368,26.695,Level：3
Belgium,BEL,2000,0.580000019,3.66E+11,11.915,Level：2
Belize,BLZ,2000,2.360000038,1057996352,99.894,Level：4
Benin,BEN,2000,13.68000031,6219354112,117.261,Level：6
Bhutan,BTN,2000,7.719999695,655103424,69.775,Level：5
Bolivia,BOL,2000,7.559999847,17334777856,90.335,Level：5
Bosnia and Herzegovina,BIH,2000,0.989999962,10681820160,17.848,Level：2
Botswana,BWA,2000,8.05,7508742144,67.562,Level：5
Brazil,BRA,2000,3.470000076,1.19E+12,86.362,Level：4
Brunei,BRN,2000,1.030000019,11348838400,29.152,Level：3
Bulgaria,BGR,2000,1.75,30374060032,45.249,Level：3
Burkina Faso,BFA,2000,17.88999939,5107828224,135.684,Level：6
Burundi,BDI,2000,15.45,1955662848,81.409,Level：6
Cambodia,KHM,2000,10.63000031,5914027008,54.402,Level：6
Cameroon,CMR,2000,14.38999939,17168567296,142.596,Level：6
Canada,CAN,2000,0.619999981,1.05E+12,17.452,Level：2
Cape Verde,CPV,2000,3.809999847,845261440,100.424,Level：4
Central African Republic,CAF,2000,16.88999939,1675850368,148.779,Level：6
Chad,TCD,2000,18.4,3133116416,201.92,Level：6
Chile,CHL,2000,1.089999962,1.33E+11,61.305,Level：3
China,CHN,2000,3.670000076,2.77E+12,12.579,Level：4
